,název,abs.,v %,Početmandátů,Rok
0,Unie pro sport a zdraví,50 604,426.0,0,2018
1,Svob.a př.dem.-T.Okamura (SPD),54 539,459.0,0,2018
2,Starostové pro Liberecký kraj,381 613,3210.0,16,2018
3,Občanská demokratická strana,99 621,838.0,4,2018
4,ANO 2011,253 959,2136.0,11,2018
5,Liberec otevřený lidem - LOL!,62 686,527.0,2,2018
6,PRO 2016 s podporou Svobodných,42 636,359.0,0,2018
7,Liberec Plus+,18 622,157.0,0,2018
8,Komunistická strana Čech a Moravy,35 979,303.0,0,2018
9,Změna pro Liberec,157 737,1327.0,6,2018
10,Strana soukromníků ČR,5 491,46.0,0,2018
11,Česká strana sociálně demokratická,25 192,212.0,0,2018
0,Nový směr-společná kandidátka,28 259,271.0,0,2014
1,Česká strana sociálně demokratická,102 429,982.0,4,2014
2,Starostové pro Liberecký kraj,172 933,1659.0,8,2014
3,Změna pro Liberec,265 450,2546.0,12,2014
4,Úsvit přímé demokracie,14 479,139.0,0,2014
5,KDU-ČSL a nezávislí,23 964,230.0,0,2014
6,Str.pro otevřenou společnost,6 044,58.0,0,2014
7,TOP 09,56 952,546.0,2,2014
8,Liberec ještě žije,16 293,156.0,0,2014
9,Strana svobodných občanů,19 909,191.0,0,2014
10,Komunistická strana Čech a Moravy,58 283,559.0,2,2014
11,Občanská demokratická strana,52 598,504.0,2,2014
12,ANO 2011,188 225,1805.0,9,2014
13,Strana Práv Občanů,2 016,19.0,0,2014
14,PRO Sport a Zdraví,34 841,334.0,0,2014
0,Unie pro sport a zdraví,84 662,696.0,3,2010
1,Změna pro Liberec,251 179,2063.0,9,2010
2,Občanská demokratická strana,215 899,1774.0,8,2010
3,Suverenita-blok J.Bobošíkové,23 754,195.0,0,2010
4,TOP 09,0,0.0,0,2010
5,Věci veřejné,88 437,727.0,3,2010
6,Demokratická regionální strana,47 456,390.0,0,2010
7,Česká strana sociálně demokratická,204 874,1683.0,7,2010
8,SOS - Liberecký zastupitel,43 514,357.0,0,2010
9,Volte Pr.Blok www.cibulka.net,752,6.0,0,2010
10,Strana Práv Občanů ZEMANOVCI,9 328,77.0,0,2010
11,Liberec občanům,163 246,1341.0,6,2010
12,Komunistická strana Čech a Moravy,84 176,692.0,3,2010
0,SNK ED a nezávislí společně,72 106,639.0,2,2006
1,Strana zelených,127 974,1133.0,4,2006
2,Občanská demokratická strana,326 189,2889.0,12,2006
3,Unie pro sport a zdraví,102 316,906.0,3,2006
4,NEZ.DEMOKRATÉ(předs.V.Železný),1 929,17.0,0,2006
5,Česká strana sociálně demokratická,161 564,1431.0,6,2006
6,Komunistická strana Čech a Moravy,98 964,876.0,3,2006
7,SOS pro Liberec,236 848,2098.0,9,2006
8,Koruna Česká (monarch.strana),776,7.0,0,2006
9,Občanská demokratická aliance,454,4.0,0,2006
0,Křesťanská a demokratická unie - Československá strana lidová,35 474,3.6,0,2002
1,Česká strana sociálně demokratická,155 273,15.76,7,2002
2,Komunistická strana Čech a Moravy,105 909,10.75,5,2002
3,Občanská demokratická strana,273 081,27.72,13,2002
4,NEZÁVISLÍ,50 781,5.15,2,2002
5,"Pravý Blok-strana za ODVOLAT.politiků, NÍZKÉ daně, MIN.byrokracie, SPRAV.justici, REFER.a PŘÍMOU demokr. WWW.CIBULKA.NET",2 874,0.29,0,2002
6,Unie svobody - Demokratická unie,53 994,5.48,2,2002
7,Strana pro otevřenou společnost,97 869,9.93,4,2002
8,Demokratická regionální strana,60 223,6.11,3,2002
9,Hnutí nezávislých za harmonický rozvoj obcí a měst,19 386,1.97,0,2002
10,Volba pro město,42 205,4.28,0,2002
11,Unie pro sport a zdraví,70 812,7.19,3,2002
12,Republikáni Miroslava Sládka,1 465,0.15,0,2002
13,Strana svobodných severu,3 527,0.36,0,2002
14,Strana občanského porozumění,3 370,0.34,0,2002
15,Naděje,9 041,0.92,0,2002
